serial_number,time_stamp,Sector 1,Sector 2,Sector 3,Sector 4
1,2016-03-21,1125.36,458.49,2048.98,1275
2,2016-03-18,1120.1,458.49,2048.98,1242.46
3,2016-03-17,1120.1,458.49,2048.98,1242.46
4,2016-03-16,1117.84,458.49,2048.98,1228.52
5,2016-03-15,1114.08,458.49,2048.98,1205.28
6,2016-03-14,1113.8199,458.49,2048.5801,1205.28
7,2016-03-11,1112.3199,458.49,2048.5801,1195.98
8,2016-03-10,1108.75,458.49,2046.5601,1182.04
9,2016-03-09,1111.88,470.07,2047.36,1182.04
10,2016-03-08,1111.88,470.07,2047.36,1182.04
11,2016-03-07,1111.88,470.07,2047.36,1182.04
12,2016-03-04,1111.88,470.07,2047.36,1182.04
13,2016-03-03,1111.88,470.07,2047.36,1182.04
14,2016-03-02,1112.63,470.07,2047.36,1186.6899
15,2016-03-01,1113.95,470.07,2047.08,1195.98
16,2016-02-29,1114.34,470.07,2048.8401,1191.33
17,2016-02-26,1115.09,470.07,2048.8401,1195.98
18,2016-02-25,1114.51,470.07,2045.63,1205.28
19,2016-02-24,1114.51,470.07,2045.63,1205.28
20,2016-02-23,1116.2,470.07,2048.22,1205.28
21,2016-02-22,1117.7,470.07,2048.22,1214.5699
22,2016-02-19,1115.98,470.07,2048.1699,1207.71
23,2016-02-18,1115.95,470.07,2048.1101,1207.71
24,2016-02-17,1115.1,470.07,2048.1101,1204.28
25,2016-02-16,1114.26,470.07,2048.1101,1202.17
26,2016-02-15,1115.95,470.07,2048.1101,1209.03
27,2016-02-12,1115.1,470.07,2048.1101,1205.6
28,2016-02-11,1111.73,470.07,2048.1101,1191.87
29,2016-02-10,1114.42,470.07,2046.91,1205.6
30,2016-02-05,1126.98,527.78,2046.91,1209.03
31,2016-02-04,1127.64,527.78,2048.0801,1209.03
32,2016-02-03,1126.79,527.78,2048.0801,1205.6
33,2016-02-02,1125.95,527.78,2048.0801,1202.17
34,2016-02-01,1126.79,527.78,2048.0801,1205.6
35,2016-01-29,1124.9399,527.78,2047.79,1198.74
36,2016-01-28,1125.98,527.78,2048.1399,1202.17
37,2016-01-27,1105.45,527.78,2016.4,1191.87
38,2016-01-26,1107.14,527.78,2016.4,1198.74
39,2016-01-25,1107.53,528.2,2015.6,1202.17
40,2016-01-22,1110.91,528.2,2015.6,1215.9
41,2016-01-21,1112.59,528.2,2015.6,1222.76
42,2016-01-20,1116.8101,528.2,2015.6,1239.92
43,2016-01-19,1115.97,528.2,2015.6,1236.49
44,2016-01-18,1117.66,528.2,2015.6,1243.36
45,2016-01-15,1111.03,470.49,2021.59,1250.22
46,2016-01-14,1112.72,469.23,2021.59,1257.08
47,2016-01-13,1115.25,469.23,2021.59,1267.38
48,2016-01-12,1116.1,469.23,2021.59,1270.8101
49,2016-01-11,1116.9399,471.34,2021.59,1274.24
50,2016-01-08,1116.1,471.34,2021.59,1270.8101
51,2016-01-07,1116.9399,471.34,2021.59,1274.24
52,2016-01-06,1136.92,471.34,2056.8201,1274.24
53,2016-01-05,1139.52,471.34,2062.8899,1270.8101
54,2016-01-04,1141.21,471.34,2062.8899,1277.6801
55,2015-12-30,1142.9,471.34,2062.8899,1284.54
56,2015-12-29,1141.21,471.34,2062.8899,1277.6801
57,2015-12-28,1142.6,471.34,2062.3701,1284.54
58,2015-12-24,1142.78,471.34,2061.2,1287.97
59,2015-12-23,1141.71,471.34,2060.8,1284.54
60,2015-12-22,1121.64,471.34,2026.9,1281.11
61,2015-12-21,1119.1,467.12,2026.9,1270.8101
62,2015-12-18,1126.98,489.32,2026.9,1284.54
63,2015-12-17,1127.9504,489.3167,2030.0898,1281.1082
64,2015-12-16,1127.9504,489.3167,2030.0898,1281.1082
65,2015-12-15,1135.9008,489.3167,2044.1056,1281.1082
66,2015-12-14,1123.5699,489.32,2017.9,1291.4
67,2015-12-11,1124.41,489.32,2017.9,1294.84
68,2015-12-10,1126.1,489.32,2017.9,1301.7
69,2015-12-09,1125.26,489.32,2017.9,1298.27
70,2015-12-08,1141.8101,491.42,2044.11,1305.13
71,2015-12-07,1137.98,491.42,2038.85,1301.7
72,2015-12-04,1138.83,491.42,2038.85,1305.13
73,2015-12-03,1141.79,491.42,2044.08,1305.13
74,2015-12-02,1143.96,491.42,2046.41,1308.5601
75,2015-12-01,1143.46,488.94,2046.41,1308.5601
76,2015-11-30,1143.46,488.94,2046.41,1308.5601
77,2015-11-27,1145.11,488.94,2049.3301,1308.5601
78,2015-11-26,1144.27,488.94,2049.3301,1305.13
79,2015-11-25,1144.27,488.94,2049.3301,1305.13
80,2015-11-24,1143.42,488.94,2049.3301,1301.7
81,2015-11-23,114.27,488.94,2049.3301,1305.13
82,2015-11-20,1143.42,488.94,2049.3301,1301.7
83,2015-11-19,1141.61,493.91,2047.34,1297.49
84,2015-11-18,1143.3,493.91,1047.34,1304.35
85,2015-11-17,1143.3,493.91,2047.34,1304.35
86,2015-11-16,1138.8,471.71,2047.34,1304.35
87,2015-11-13,1138.29,469.23,2047.34,1304.35
88,2015-11-12,1146.59,469.23,2054.52,1321.51
89,2015-11-11,1142.37,473.44,2054.52,1304.35
90,2015-11-10,1148.95,476.36,2059.1101,1314.65
91,2015-11-09,1148.95,476.36,2059.1101,1314.65
92,2015-11-06,1148.11,476.36,2059.1101,1311.21
93,2015-11-05,1153.91,505.22,2059.02,1311.21
94,2015-11-04,1152.22,505.22,2059.02,1304.35
95,2015-10-30,1152.22,505.22,2059.02,1304.35
96,2015-10-29,1153.51,505.22,2064.27,1297.49
97,2015-10-28,1151.33,509.43,2067.8601,1280.33
98,2015-10-27,1147.11,509.43,2067.8601,1263.16
99,2015-10-26,1142.89,509.43,2067.8601,1246
100,2015-10-23,1134.45,509.43,2067.8601,1211.6801
101,2015-10-22,1136.3,516.89,2068.45,1211.6801
102,2015-10-21,1136.3,516.89,2068.45,1211.6801
103,2015-10-20,1142.89,516.89,2080.0701,1211.6801
104,2015-10-19,1142.89,516.89,2080.0701,1211.6801
105,2015-10-16,1142.89,516.89,2080.0701,1211.6801
106,2015-10-15,1149.2,547.96,2080.0701,1211.6801
107,2015-10-14,1149.2,547.96,2080.0701,1211.6801
108,2015-10-13,1148.29,547.96,2078.47,1211.6801
109,2015-10-12,1149.9301,550.45,2080.47,1211.6801
110,2015-10-08,1149.9301,550.45,2080.47,1211.6801
111,2015-10-07,1159.72,552.94,2096.8501,1211.6801
112,2015-10-06,1159.22,550.45,2096.8501,1211.6801
113,2015-10-05,1155.91,550.45,2091.02,1211.6801
