Issue Number, Title, Github URL, Labels, State, Milestone, Created At, Updated At, Reporter, Assignee, Body
207, "TEAM BLITZKREIG - PropheSee - FINTECH ", https://github.com/skillenza-com/MishMash-India-2020/issues/207, "Fin Tech", open, , 04/03/2020, 04/06/2020, gofornaman, suryaskillenza, 
206, "UNILIVER POC USE CASE", https://github.com/skillenza-com/MishMash-India-2020/issues/206, "", open, , 04/03/2020, 04/03/2020, robby75, , 
205, "BuzzHack - eRequisition- FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/205, "Fin Tech", open, , 04/02/2020, 04/02/2020, uddinayazsk, suryaskillenza, 
204, "datadude - Unilever Data Science POC Use Case - Sales Drivers Prediction", https://github.com/skillenza-com/MishMash-India-2020/issues/204, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/02/2020, 04/02/2020, iamsubrata, suryaskillenza, 
203, "Makerick - 3Defy - Deep Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/203, "Deep Tech", open, , 04/02/2020, 04/02/2020, dhruv2601, suryaskillenza, 
202, "LAZYCODERS- COVID - SOCIALIMPACT", https://github.com/skillenza-com/MishMash-India-2020/issues/202, "Social Impact", open, , 04/02/2020, 04/02/2020, Dhruv9780, suryaskillenza, 
201, "WaterMelon - Litter Detection - Deep Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/201, "Deep Tech", open, , 04/01/2020, 04/02/2020, karanjakhar, suryaskillenza, 
200, "Bricks_Data - Unilever Data Science POC Use Case - Problem Statement 3", https://github.com/skillenza-com/MishMash-India-2020/issues/200, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, Satyabrat009, suryaskillenza, 
199, "z_n_n - Coronacma - social imapact", https://github.com/skillenza-com/MishMash-India-2020/issues/199, "Social Impact", open, , 04/01/2020, 04/02/2020, jubinsoni, suryaskillenza, 
198, "ERROR_404 - PROJECT NAME - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/198, "Social Impact", open, , 04/01/2020, 04/02/2020, RaghavAwasthi, suryaskillenza, 
197, "ATLANTA - LEARNHUB - ED-TECH", https://github.com/skillenza-com/MishMash-India-2020/issues/197, "Ed Tech", closed, , 04/01/2020, 04/02/2020, riyatheresa18, suryaskillenza, 
196, "Dev_engers4  - Max sale20  - Data Science POC Use Case", https://github.com/skillenza-com/MishMash-India-2020/issues/196, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, johnsDevassy, suryaskillenza, 
195, "FINNOVATE- CORONET - SOCIAL IMPACT", https://github.com/skillenza-com/MishMash-India-2020/issues/195, "Social Impact", open, , 04/01/2020, 04/02/2020, sauravraaj, suryaskillenza, 
194, "BuzzHack - eRequistion - FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/194, "Fin Tech", closed, , 04/01/2020, 04/02/2020, uddinayazsk, suryaskillenza, 
193, "SpartanX - Problem Statement 3 - Data Science POC Use Case - Deep Tech /Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/193, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, roshan-dhormale, suryaskillenza, 
192, "Aaj_Tak- Marketing_Analytics - Deep Tech or Machine Learning - POC Usecase", https://github.com/skillenza-com/MishMash-India-2020/issues/192, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, Nilanjan50, suryaskillenza, 
191, "TWICH - TWICH_IN - FINTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/191, "Fin Tech", open, , 04/01/2020, 04/02/2020, Akilesh30, suryaskillenza, 
190, "Timepass - Sales Forecasting - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/190, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, pranavsharma2, suryaskillenza, 
